Sample equal_delay orig_delay nn_delay gain
126 2.020489e+01 2.173293e+01 1.714506e+01 2.111019e-01
127 2.012930e+01 2.194091e+01 1.686941e+01 2.311436e-01
128 2.019191e+01 2.218801e+01 1.688716e+01 2.389061e-01
129 2.022239e+01 2.227187e+01 1.688521e+01 2.418591e-01
130 2.017882e+01 2.182246e+01 1.673305e+01 2.332192e-01
131 2.024543e+01 2.194693e+01 1.703005e+01 2.240347e-01
132 2.040952e+01 2.184638e+01 1.720802e+01 2.123169e-01
133 2.013479e+01 2.200680e+01 1.663394e+01 2.441453e-01
134 1.945907e+01 2.167911e+01 1.567698e+01 2.768624e-01
135 2.000791e+01 2.181461e+01 1.650514e+01 2.433906e-01
136 1.980590e+01 2.161451e+01 1.618195e+01 2.513387e-01
137 1.999915e+01 2.159019e+01 1.656741e+01 2.326417e-01
138 2.010829e+01 2.208848e+01 1.693291e+01 2.334054e-01
139 1.979986e+01 2.195457e+01 1.652055e+01 2.475120e-01
140 1.987403e+01 2.235532e+01 1.678056e+01 2.493710e-01
141 1.989401e+01 2.188681e+01 1.649161e+01 2.465046e-01
142 1.961009e+01 2.218994e+01 1.599154e+01 2.793335e-01
143 1.965998e+01 2.191613e+01 1.610275e+01 2.652559e-01
144 1.973478e+01 2.177917e+01 1.630713e+01 2.512509e-01
145 1.967913e+01 2.167567e+01 1.627732e+01 2.490515e-01
146 1.946404e+01 2.146059e+01 1.599245e+01 2.547990e-01
147 1.974864e+01 2.207212e+01 1.617490e+01 2.671797e-01
148 1.987526e+01 2.218188e+01 1.630392e+01 2.649893e-01
149 1.990582e+01 2.196335e+01 1.642935e+01 2.519653e-01
150 1.997967e+01 2.226473e+01 1.675874e+01 2.472962e-01
151 1.988580e+01 2.245047e+01 1.655702e+01 2.625091e-01
152 1.960439e+01 2.238151e+01 1.609273e+01 2.809809e-01
153 1.986297e+01 2.204995e+01 1.648750e+01 2.522658e-01
154 1.984634e+01 2.205362e+01 1.632044e+01 2.599656e-01
155 1.999775e+01 2.227631e+01 1.653986e+01 2.575135e-01
156 2.005007e+01 2.214499e+01 1.651138e+01 2.543967e-01
157 2.005080e+01 2.185873e+01 1.635548e+01 2.517643e-01
158 1.974878e+01 2.196561e+01 1.662178e+01 2.432817e-01
159 1.983636e+01 2.164138e+01 1.632076e+01 2.458540e-01
160 1.953496e+01 2.161293e+01 1.596769e+01 2.611975e-01
161 1.978220e+01 2.133486e+01 1.623112e+01 2.392207e-01
162 1.991484e+01 2.188723e+01 1.638509e+01 2.513859e-01
163 1.981157e+01 2.130686e+01 1.673047e+01 2.147849e-01
164 1.980534e+01 2.114554e+01 1.666085e+01 2.120868e-01
165 1.979918e+01 2.113497e+01 1.654597e+01 2.171284e-01
166 1.962209e+01 2.109491e+01 1.613588e+01 2.350818e-01
167 1.964895e+01 2.092049e+01 1.604116e+01 2.332320e-01
168 1.962281e+01 2.086801e+01 1.613339e+01 2.268843e-01
169 1.976967e+01 2.091787e+01 1.649992e+01 2.112049e-01
170 1.918102e+01 2.096443e+01 1.526098e+01 2.720537e-01
171 1.961609e+01 2.118741e+01 1.620342e+01 2.352336e-01
172 1.950074e+01 2.138360e+01 1.597180e+01 2.530818e-01
173 1.968605e+01 2.124006e+01 1.610082e+01 2.419597e-01
174 1.955818e+01 2.127651e+01 1.573606e+01 2.604021e-01
175 1.945687e+01 2.126526e+01 1.557753e+01 2.674659e-01
176 1.964293e+01 2.210961e+01 1.623269e+01 2.658086e-01
177 1.958850e+01 2.161049e+01 1.588459e+01 2.649590e-01
178 1.936175e+01 2.142992e+01 1.554910e+01 2.744210e-01
179 1.965641e+01 2.140948e+01 1.593551e+01 2.556798e-01
180 1.959192e+01 2.130395e+01 1.578026e+01 2.592798e-01
181 1.953226e+01 2.142883e+01 1.573616e+01 2.656548e-01
182 1.936774e+01 2.109350e+01 1.575987e+01 2.528565e-01
183 1.938219e+01 2.126443e+01 1.583605e+01 2.552798e-01
184 1.934530e+01 2.089212e+01 1.595676e+01 2.362306e-01
185 1.934144e+01 2.061649e+01 1.593430e+01 2.271092e-01
186 1.938884e+01 2.087357e+01 1.598112e+01 2.343848e-01
187 1.938740e+01 2.097774e+01 1.588555e+01 2.427425e-01
188 1.926037e+01 2.096057e+01 1.538399e+01 2.660510e-01
189 1.952418e+01 2.095560e+01 1.575390e+01 2.482249e-01
190 1.936305e+01 2.102508e+01 1.551338e+01 2.621488e-01
191 1.943168e+01 2.081094e+01 1.546689e+01 2.567904e-01
192 1.940277e+01 2.052129e+01 1.579415e+01 2.303527e-01
193 1.948378e+01 2.043559e+01 1.590666e+01 2.216194e-01
194 1.932974e+01 2.049301e+01 1.595958e+01 2.212183e-01
195 1.952729e+01 2.053383e+01 1.604275e+01 2.187159e-01
196 1.924455e+01 2.064377e+01 1.562794e+01 2.429706e-01
197 1.943407e+01 2.073700e+01 1.580002e+01 2.380760e-01
198 1.947220e+01 2.015469e+01 1.591361e+01 2.104264e-01
199 1.958823e+01 2.060388e+01 1.631752e+01 2.080365e-01
200 1.959569e+01 2.033638e+01 1.644698e+01 1.912536e-01
201 1.972940e+01 2.023986e+01 1.663780e+01 1.779688e-01
202 1.970747e+01 2.007053e+01 1.657180e+01 1.743216e-01
203 1.974254e+01 1.975820e+01 1.641334e+01 1.692896e-01
204 1.979898e+01 1.974821e+01 1.651096e+01 1.639263e-01
205 1.982013e+01 1.954238e+01 1.656383e+01 1.524150e-01
206 1.952502e+01 1.986172e+01 1.612602e+01 1.880852e-01
207 1.971350e+01 2.004220e+01 1.626627e+01 1.883989e-01
208 1.949530e+01 1.960625e+01 1.612696e+01 1.774582e-01
209 1.952134e+01 1.960125e+01 1.607509e+01 1.798945e-01
210 1.969497e+01 1.980579e+01 1.662207e+01 1.607472e-01
211 1.970354e+01 1.997347e+01 1.666916e+01 1.654347e-01
212 1.976876e+01 2.032065e+01 1.673808e+01 1.763018e-01
213 1.968952e+01 2.013779e+01 1.618066e+01 1.965028e-01
214 1.971562e+01 2.028620e+01 1.625052e+01 1.989369e-01
215 1.982112e+01 2.005583e+01 1.623897e+01 1.903121e-01
216 1.971722e+01 1.988667e+01 1.614566e+01 1.881165e-01
217 1.967352e+01 1.984935e+01 1.603147e+01 1.923429e-01
218 1.979079e+01 2.015754e+01 1.628702e+01 1.920134e-01
219 1.996938e+01 2.048765e+01 1.643390e+01 1.978631e-01
220 1.990406e+01 2.046998e+01 1.634665e+01 2.014330e-01
221 1.982743e+01 2.019121e+01 1.630171e+01 1.926331e-01
222 1.983495e+01 2.010756e+01 1.630984e+01 1.888701e-01
223 1.976896e+01 2.038846e+01 1.631661e+01 1.997135e-01
224 1.958937e+01 2.066225e+01 1.593972e+01 2.285583e-01
225 1.974327e+01 2.080452e+01 1.620758e+01 2.209585e-01
226 1.956064e+01 2.064559e+01 1.595114e+01 2.273827e-01
227 1.975356e+01 2.049718e+01 1.628389e+01 2.055549e-01
228 1.968280e+01 2.053525e+01 1.616303e+01 2.129132e-01
229 1.969300e+01 2.057125e+01 1.604575e+01 2.199914e-01
230 1.952377e+01 2.040532e+01 1.565043e+01 2.330218e-01
231 1.976225e+01 2.092095e+01 1.617964e+01 2.266298e-01
232 1.956131e+01 2.048714e+01 1.572705e+01 2.323452e-01
233 1.960521e+01 2.017137e+01 1.563012e+01 2.251334e-01
234 1.972810e+01 2.044575e+01 1.598243e+01 2.183005e-01
235 1.955829e+01 2.053238e+01 1.578415e+01 2.312557e-01
236 1.960078e+01 2.047416e+01 1.586777e+01 2.249854e-01
237 1.961426e+01 2.012981e+01 1.601439e+01 2.044441e-01
238 1.965475e+01 2.026158e+01 1.603225e+01 2.087366e-01
239 1.966608e+01 2.020835e+01 1.591273e+01 2.125665e-01
240 1.797274e+01 2.066746e+01 1.335639e+01 3.537480e-01
241 1.765000e+01 2.092472e+01 1.286984e+01 3.849454e-01
242 1.777789e+01 2.062670e+01 1.326309e+01 3.569943e-01
243 1.905052e+01 2.039639e+01 1.534243e+01 2.477871e-01
